City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,goiatuba,-18.0125,-49.3547,38.47,14,34,3.67,BR,1699720382
216,anadyr,64.75,177.4833,-17.72,91,20,3.0,RU,1699720382
217,kivertsi,50.8343,25.4582,8.97,85,100,2.88,UA,1699720382
218,georgetown,5.4112,100.3354,26.12,95,20,2.57,MY,1699720273
219,carbonear,47.7332,-53.2148,4.12,91,100,9.25,CA,1699720383
220,zag,46.9441,99.165,-15.85,79,6,1.65,MN,1699720383
221,codajas,-3.8367,-62.0569,36.72,33,58,1.7,BR,1699720383
222,smara,26.7384,-11.6719,31.68,15,1,2.98,EH,1699720383
223,west island,-12.1568,96.8225,25.99,83,40,3.09,CC,1699720383
224,fuglafjordur,62.244,-6.814,3.26,70,88,5.52,FO,1699720383
225,bay roberts,47.5999,-53.2648,4.07,92,100,4.47,CA,1699720384
226,touros,-5.1989,-35.4608,29.39,54,1,7.18,BR,1699720384
227,dili,-8.5586,125.5736,26.63,71,97,1.6,TL,1699720384
228,jampur,29.6441,70.5954,20.99,40,0,1.75,PK,1699720384
229,haiku-pauwela,20.9219,-156.3051,23.36,80,40,6.17,US,1699720385
230,dishna,26.1247,32.476,30.1,27,100,1.69,EG,1699720385
231,chemolgan,43.1897,76.5292,4.81,51,100,0.71,KZ,1699720385
232,korla,41.7597,86.1469,3.94,76,48,2.95,CN,1699720385
233,coruripe,-10.1256,-36.1756,28.75,54,29,6.12,BR,1699720386
234,saint-joseph,-21.3667,55.6167,24.21,85,71,3.98,RE,1699720386
235,formosa do rio preto,-11.0483,-45.1931,37.89,16,14,3.65,BR,1699720386
236,huarmey,-10.0681,-78.1522,23.45,70,35,5.08,PE,1699720386
237,kiiminki,65.1314,25.7974,-8.19,92,9,3.0,FI,1699720387
238,crane,31.3974,-102.3501,11.6,69,100,1.89,US,1699720387
239,labrador city,52.9463,-66.9114,-7.05,79,100,2.57,CA,1699720209
240,cabedelo,-6.9811,-34.8339,29.37,63,64,6.16,BR,1699720387
241,markala,13.7021,-6.0659,36.2,13,45,2.78,ML,1699720387
242,ca mau,9.1769,105.15,24.98,95,89,2.14,VN,1699720387
243,fort st. john,56.2499,-120.8529,-0.06,86,40,1.54,CA,1699720388
244,kadugli,11.0167,29.7167,29.94,47,80,1.2,SD,1699720388
245,al bawiti,28.3492,28.8659,22.6,57,95,1.77,EG,1699720388
246,sao felix do xingu,-6.6447,-51.995,37.68,27,21,2.04,BR,1699720388
247,charleston,32.7766,-79.9309,13.34,92,100,4.63,US,1699720130
248,urzhar,47.093,81.6294,5.52,74,64,4.04,KZ,1699720389
249,nabire,-3.3667,135.4833,25.04,89,100,2.03,ID,1699720389
250,kutum,14.2,24.6667,25.68,25,99,1.03,SD,1699720389
251,souillac,-20.5167,57.5167,24.21,88,75,1.54,MU,1699720389
252,labuan,5.2767,115.2417,26.2,89,20,0.0,MY,1699720390
253,al jawf,29.5,38.75,25.44,26,98,4.69,SA,1699720390
254,inhambane,-23.865,35.3833,24.99,69,0,3.6,MZ,1699720390
255,yellowknife,62.456,-114.3525,-0.88,100,75,5.14,CA,1699720217
